rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
3534,5711/squad-seven,Squad Seven,2,4,20,20,20,6.45424,5.7429,356,https://cf.geekdo-images.com/images/pic190387.jpg,12,Hand Management,641,"Action / Dexterity, Adventure, Card Game, Real-time",1.3182
3535,173486/dune-dice-game,Dune: The Dice Game,3,8,120,30,120,6.89757,5.74287,226,https://cf.geekdo-images.com/images/pic2427360.jpg,8,"Area Control / Area Influence, Area Movement, Dice Rolling, Partnerships, Variable Player Powers",437,"Bluffing, Dice, Fighting, Negotiation, Novel-based, Print & Play, Science Fiction",2.8571
3536,71668/after-pablo,After Pablo,2,4,120,120,120,7.37026,5.74283,154,https://cf.geekdo-images.com/images/pic727399.jpg,17,"Area Control / Area Influence, Hand Management",158,"Economic, Fighting, Mafia",3.5556
3537,100169/hero-weehawken,Hero of Weehawken,1,1,45,45,45,7.62749,5.74276,134,https://cf.geekdo-images.com/images/pic1039206.jpg,13,Area Movement,308,"Civilization, Deduction, Educational, Napoleonic, Political",2.1579
3538,4637/max,Max,1,8,20,20,20,6.59984,5.74264,320,https://cf.geekdo-images.com/images/pic44118.jpg,4,"Area Movement, Co-operative Play, Roll / Spin and Move",517,"Animals, Children's Game, Racing",1.1277
3539,697/conspiracy,Conspiracy,3,4,90,90,90,6.25961,5.74261,515,https://cf.geekdo-images.com/images/pic187425.jpg,10,"Betting/Wagering, Memory, Pick-up and Deliver",1359,"Bluffing, Memory, Spies/Secret Agents",1.9111
3540,1668/modern-naval-battles,Modern Naval Battles,2,6,90,90,90,6.43116,5.74259,395,https://cf.geekdo-images.com/images/pic7548.jpg,12,"Hand Management, Take That",676,"Card Game, Modern Warfare, Nautical, Print & Play, Wargame",2.2182
3541,144526/glastonbury,Glastonbury,2,4,30,30,30,6.67068,5.74244,282,https://cf.geekdo-images.com/images/pic1757300.jpg,8,"Modular Board, Set Collection",359,"Card Game, Fantasy",1.6154
3542,22677/stalins-war,Stalin's War,2,2,240,240,240,6.77542,5.74231,262,https://cf.geekdo-images.com/images/pic691074.jpg,12,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Simulation",819,"Wargame, World War II",3.1304
3543,189869/butterfly-garden,The Butterfly Garden,2,6,40,20,40,6.87195,5.74218,239,https://cf.geekdo-images.com/images/pic3142367.jpg,8,"Auction/Bidding, Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",654,"Animals, Card Game",1.3
3544,16805/panzer-grenadier-road-berlin,Panzer Grenadier: Road to Berlin,2,2,120,120,120,7.3753,5.74217,164,https://cf.geekdo-images.com/images/pic71345.jpg,12,Hex-and-Counter,503,"Wargame, World War II",2.7742
3545,133437/dead-panic,Dead Panic,2,6,90,90,90,6.08346,5.74214,830,https://cf.geekdo-images.com/images/pic1721153.jpg,13,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Variable Player Powers",2097,Zombies,2.2683
3546,5243/montage,Montage,4,4,60,60,60,7.17046,5.74213,175,https://cf.geekdo-images.com/images/pic964692.jpg,13,Partnerships,347,Word Game,2.6
3547,48/krieg-und-frieden,Krieg und Frieden,2,4,90,90,90,6.13143,5.7419,660,https://cf.geekdo-images.com/images/pic359365.jpg,12,Auction/Bidding,1279,"Medieval, Political",2.4559
3548,1823/1829,1829,3,9,360,360,360,7.04596,5.74158,208,https://cf.geekdo-images.com/images/pic224206.jpg,12,"Commodity Speculation, Route/Network Building, Stock Holding",359,"Economic, Trains, Transportation",3.75
3549,1631/barbarian-prince,Barbarian Prince,1,1,180,180,180,6.48642,5.74134,416,https://cf.geekdo-images.com/images/pic66518.jpg,12,"Dice Rolling, Hex-and-Counter",820,"Adventure, Fantasy, Medieval, Print & Play",2.3529
3550,10527/gyges,Gyges,2,2,15,15,15,6.77824,5.74132,262,https://cf.geekdo-images.com/images/pic1316284.jpg,8,Grid Movement,314,Abstract Strategy,2.4118
3551,194196/kharnage,Kharnage,2,4,30,20,30,6.55713,5.74082,357,https://cf.geekdo-images.com/images/pic3372416.jpg,7,"Action / Movement Programming, Hand Management, Variable Player Powers",888,"Card Game, Fantasy, Fighting, Medieval",1.5714
